batch_id,num_rows,num_parts,num_z,num_y,num_x,interactions,build_seconds,sample_seconds,eval_seconds,total_seconds,stage_used,suggested_reads,energy,reconstructed_cost,c1_violations,c2_violations,c3_violations,c4_violations,penalty_c1,penalty_c2,penalty_c3,open_hubs_count,stocked_pairs_count,assignments_count
1,11340,71,49879,11556,200,272272,1.886927604675293,28068.152832508087,0.0,28070.10356092453,0,1580,-28357353581.003998,103377549.998,0,0,0,0,2509764.6500000004,2509764.6500000004,2509764.6500000004,200,9241,11340
2,11087,56,49711,9313,200,267682,1.2732970714569092,18980.665875196457,0.0,18981.990617990494,0,1577,-27734462001.52885,103294807.0235,0,0,0,0,2510846.65,2510846.65,2510846.65,200,7718,11087
3,11116,50,49070,8617,200,261910,1.2345402240753174,18465.050916671753,0.0,18466.336178541183,0,1567,-27795741558.037315,102770610.766,0,0,0,0,2509761.8,2509761.8,2509761.8,200,7172,11116
4,11261,60,49596,9951,200,266087,1.2664618492126465,19059.0095205307,0.0,19060.328239679337,0,1575,-28207319959.109215,103370627.5435,0,0,0,0,2514047.6500000004,2514047.6500000004,2514047.6500000004,200,8069,11261
5,11308,58,49516,9685,200,265655,1.2604637145996094,18984.244496822357,0.0,18985.557221889496,0,1574,-28295123389.57938,103130250.218,0,0,0,0,2511341.85,2511341.85,2511341.85,200,7925,11308
6,10912,49,48082,8325,200,256633,1.209610939025879,17916.56346678734,0.0,17917.823162317276,0,1551,-27298938112.863316,102911280.74000001,0,0,0,0,2511166.55,2511166.55,2511166.55,200,6925,10912
7,11232,53,49149,8910,200,262747,1.2740013599395752,18578.367480278015,0.0,18579.692147254944,0,1568,-28137450809.354393,102991571.4485,0,0,0,0,2514284.4,2514284.4,2514284.4,200,7448,11232
8,11317,61,49974,10133,200,267838,1.2704417705535889,19325.63800096512,0.0,19326.96062350273,0,1581,-28327884745.307327,102976896.69299999,0,0,0,0,2512226.0,2512226.0,2512226.0,200,8287,11317
9,11326,61,49294,10168,200,263574,1.263692855834961,19018.070775032043,0.0,19019.38698887825,0,1570,-28320408147.53939,103142501.65799999,0,0,0,0,2509584.2,2509584.2,2509584.2,200,8284,11326
10,11271,58,48929,9859,200,260893,1.2496211528778076,18755.693499326706,0.0,18756.993704795837,0,1565,-28178492739.48475,103088182.9175,0,0,0,0,2509234.4,2509234.4,2509234.4,200,8005,11271
11,3540,23,15759,3684,200,86531,0.40746498107910156,3548.3281688690186,0.0,3548.7610709667206,0,888,-8808206992.725697,101438113.2745,0,0,0,0,2516848.9,2516848.9,2516848.9,200,2899,3540
