batch_id,num_rows,num_parts,num_z,num_y,num_x,interactions,build_seconds,sample_seconds,eval_seconds,total_seconds,stage_used,suggested_reads,energy,reconstructed_cost,c1_violations,c2_violations,c3_violations,c4_violations,penalty_c1,penalty_c2,penalty_c3,open_hubs_count,stocked_pairs_count,assignments_count
1,11340,71,49879,11556,200,272272,1.3059451580047607,19804.369693994522,0.0,19805.729130983353,0,1580,-28357353581.003998,103377549.998,0,0,0,0,2509764.6500000004,2509764.6500000004,2509764.6500000004,200,9241,11340
2,11087,56,49711,9313,200,267682,1.240830421447754,18938.10431933403,0.0,18939.39678287506,0,1577,-27734462001.52885,103294807.0235,0,0,0,0,2510846.65,2510846.65,2510846.65,200,7718,11087
3,11116,50,49070,8617,200,261910,1.2098889350891113,18464.433896780014,0.0,18465.69406223297,0,1567,-27795741558.037315,102770610.766,0,0,0,0,2509761.8,2509761.8,2509761.8,200,7172,11116
4,11261,60,49596,9951,200,266087,1.2495603561401367,19110.537079572678,0.0,19111.83945775032,0,1575,-28207319959.109215,103370627.5435,0,0,0,0,2514047.6500000004,2514047.6500000004,2514047.6500000004,200,8069,11261
5,11308,58,49516,9685,200,265655,1.242342233657837,18997.813368558884,0.0,18999.106256723404,0,1574,-28295123389.57938,103130250.218,0,0,0,0,2511341.85,2511341.85,2511341.85,200,7925,11308
6,10912,49,48082,8325,200,256633,1.1837646961212158,17955.141794204712,0.0,17956.375230312347,0,1551,-27298938112.863316,102911280.74000001,0,0,0,0,2511166.55,2511166.55,2511166.55,200,6925,10912
7,11232,53,49149,8910,200,262747,1.2308244705200195,18562.158435344696,0.0,18563.44023680687,0,1568,-28137450809.354393,102991571.4485,0,0,0,0,2514284.4,2514284.4,2514284.4,200,7448,11232
8,11317,61,49974,10133,200,267838,1.252192735671997,19347.884218931198,0.0,19349.188688516617,0,1581,-28327884745.307327,102976896.69299999,0,0,0,0,2512226.0,2512226.0,2512226.0,200,8287,11317
9,11326,61,49294,10168,200,263574,1.2463223934173584,19014.5275785923,0.0,19015.825600385666,0,1570,-28320408147.53939,103142501.65799999,0,0,0,0,2509584.2,2509584.2,2509584.2,200,8284,11326
10,11271,58,48929,9859,200,260893,1.2572391033172607,18761.511970996857,0.0,18762.82185125351,0,1565,-28178492739.48475,103088182.9175,0,0,0,0,2509234.4,2509234.4,2509234.4,200,8005,11271
11,3540,23,15759,3684,200,86531,0.40514087677001953,3555.723953485489,0.0,3556.155094385147,0,888,-8808206992.725697,101438113.2745,0,0,0,0,2516848.9,2516848.9,2516848.9,200,2899,3540
