batch_id,num_rows,num_parts,num_z,num_y,num_x,interactions,build_seconds,sample_seconds,eval_seconds,total_seconds,stage_used,suggested_reads,energy,reconstructed_cost,c1_violations,c2_violations,c3_violations,c4_violations,penalty_c1,penalty_c2,penalty_c3,open_hubs_count,stocked_pairs_count,assignments_count
1,11340,71,49879,11556,200,272272,1.3135883808135986,1144.353040933609,0.0,1145.7214004993439,0,316,-28357363685.695656,103367445.30649999,0,0,0,0,2509764.6500000004,2509764.6500000004,2509764.6500000004,200,9206,11340
2,11087,56,49711,9313,200,267682,1.2708141803741455,1101.3493876457214,0.0,1102.6727640628815,0,316,-27734494273.86498,103262534.6875,0,0,0,0,2510846.65,2510846.65,2510846.65,200,7620,11087
3,11116,50,49070,8617,200,261910,1.2468092441558838,1071.9049866199493,0.0,1073.2019174098969,0,314,-27795738426.91575,102773741.88749999,0,0,0,0,2509761.8,2509761.8,2509761.8,200,7146,11116
4,11261,60,49596,9951,200,266087,1.2900116443634033,1108.0894482135773,0.0,1109.4315903186798,0,315,-28207312442.36004,103378144.2925,0,0,0,0,2514047.6500000004,2514047.6500000004,2514047.6500000004,200,8063,11261
5,11308,58,49516,9685,200,265655,1.272813320159912,1100.0191397666931,0.0,1101.3451898097992,0,315,-28295130042.059837,103123597.7375,0,0,0,0,2511341.85,2511341.85,2511341.85,200,7933,11308
6,10912,49,48082,8325,200,256633,1.2202818393707275,1042.9907371997833,0.0,1044.2600288391113,0,311,-27298932049.576206,102917344.02700001,0,0,0,0,2511166.55,2511166.55,2511166.55,200,6907,10912
7,11232,53,49149,8910,200,262747,1.2548341751098633,1080.699408531189,0.0,1082.004898071289,0,314,-28137436209.087368,103006171.7155,0,0,0,0,2514284.4,2514284.4,2514284.4,200,7439,11232
8,11317,61,49974,10133,200,267838,1.2954471111297607,1121.6549561023712,0.0,1123.0033707618713,0,317,-28327873768.331932,102987873.6685,0,0,0,0,2512226.0,2512226.0,2512226.0,200,8229,11317
9,11326,61,49294,10168,200,263574,1.2814562320709229,1101.2689900398254,0.0,1102.602695465088,0,314,-28320446017.575523,103104631.622,0,0,0,0,2509584.2,2509584.2,2509584.2,200,8157,11326
10,11271,58,48929,9859,200,260893,1.2545604705810547,1130.245084285736,0.0,1131.5497696399689,0,313,-28178472603.947754,103108318.4545,0,0,0,0,2509234.4,2509234.4,2509234.4,200,8034,11271
11,3540,23,15759,3684,200,86531,0.40140795707702637,210.35275077819824,0.0,210.7848620414734,0,178,-8808260094.600193,101385011.4,0,0,0,0,2516848.9,2516848.9,2516848.9,200,2878,3540
